cls,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine
0,16,16,1.0, そのほか健康のために、気をつけていることはありますか？,スポーツ, そのほか健康のために、気をつけていることはありますか？
0,2,2,1.0, そのスポーツのおすすめポイントを教えてください＾＾,スポーツ, そのスポーツのおすすめポイントを教えてください？
0,3,3,1.0, そうですか。そのスポーツはテレビで鑑賞はされますか・・,スポーツ, そのスポーツはテレビで鑑賞はされますか？
0,9,9,1.0, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ, スポーツはするほうが好きですか？それとも見るほうが好きですか？
0,5,5,1.0, その旅先で何かハプニングはありましたか!,旅行, その旅先で何かハプニングはありましたか？
0,22,22,1.0, その旅先で美味しい食べ物はたべましたか・・,旅行, その旅先で美味しい食べ物はたべましたか？
0,16,16,1.0, ほかには何か面白いことはありましたか？,旅行, ほかには何か面白いことはありましたか？
0,23,23,1.0, その旅先で何が一番楽しかったですか？,旅行, その旅先で何が一番楽しかったですか？
0,1,1,1.0, その作曲者のどういうところが好きなんですか？,音楽, その作曲者のどういうところが好きなんですか？
0,7,7,1.0, そのきょくのどういうところが好きなんですか？,音楽, その曲のどういうところが好きなんですか？
0,10,10,1.0, その歌手のどういうところが好きなんですか？,音楽, その歌手のどういうところが好きなんですか？
0,1,1,1.0, 具体的にどういう味か教えてください。,食事, 具体的にどういう味か教えてください？
0,20,20,1.0, なるほど、その中でもおすすめのスイーツはありますか？,食事, その中でもおすすめのスイーツはありますか？
0,12,12,1.0, それは「最近」食べられたんですか？,食事, それは最近食べられたんですか？
1,1,1,1.0, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,default, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！
1,10,10,1.0, なるほど、面白そうですね！,default, なるほど、面白そうですね！
1,4,4,1.0, そうですか、なかなかですね。,default, そうですか、なかなかですね。
1,128,128,1.0, なるほど、そうなんですね。,default, なるほど、そうなんですね。
1,4,4,1.0, そうですね、わかります。,default, そうですね、わかります。
1,47,47,1.0, なるほど。,default, なるほど。
1,2,2,1.0, なるほど、そうなんですね・・,default, なるほど、そうなんですね。
1,5,5,1.0, そうですね。,default, そうですね。
1,7,7,1.0, なるほど、よくご存じですね・・,default, なるほど、よくご存じですね。
1,16,16,1.0, なるほど、勉強になります・・,default, なるほど、勉強になります。
1,20,20,1.0, 楽しそうですね！,default, 楽しそうですね！
1,57,57,1.0, そうなんですね。,default, そうなんですね。
1,4,4,1.0, たのしそうですね。,default, 楽しそうですね。
1,1,1,1.0, そうですか、残念です・・,default, そうですか、残念です。
1,8,8,1.0, そうですね・・ぜひ参考にさせていただきます。,default, そうですね、ぜひ参考にさせていただきます。
1,9,9,1.0, いいですね。テレビ観戦も楽しそうですね！,スポーツ, いいですね。テレビ観戦も楽しそうですね！
1,2,2,1.0, なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ, なるほど、面白そうですね。機会があれば私も見てみたいです！
1,10,10,1.0, なるほど、健康的で、ステキですね・・,スポーツ, なるほど、健康的で素敵ですね。
1,2,2,1.0, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,音楽, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
1,10,10,1.0, とても楽しそうですね。,音楽, とても楽しそうですね。
1,8,8,1.0, そうですか、とても美味しそうですね・・,食事, そうですか、とても美味しそうですね。
1,4,4,1.0, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,食事, とても美味しそうですね。今度知りあいにもすすめてみようと思います。
2,3,3,1.0, どういったところが好きなんですか？,default, どういったところが好きなんですか？
2,31,31,1.0, もう少し詳しく教えていただいていいですか。,default, もう少し詳しく教えていただいていいですか？
2,1,1,1.0, どんなスポーツをされましたか？,スポーツ, どんなスポーツをされましたか？
2,16,16,1.0, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ, 健康のためとかリフレッシュするためとかですか？
2,16,16,1.0, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ, 日本で開催されるオリンピックを、見にいく予定はありますか？
2,4,4,1.0, そうですか。テレビでの観戦はなされるんですか？,スポーツ, テレビでの観戦はなされるんですか？
