word#001,*
word#002,々
word#003,あ
word#004,あたり
word#005,あと
word#006,あなた
word#007,あの
word#008,あのー
word#009,あまり
word#010,あまりに
word#011,ありがと
word#012,ありがとう
word#013,ある
word#014,あれ
word#015,あんまり
word#016,いい
word#017,いいえ
word#018,いう
word#019,いえいえ
word#020,いく
word#021,いける
word#022,いたす
word#023,いただく
word#024,いただける
word#025,いちご
word#026,いっぱい
word#027,いつも
word#028,いらっしゃる
word#029,いる
word#030,いろいろ
word#031,いろんな
word#032,う
word#033,うち
word#034,うどん
word#035,うまい
word#036,え
word#037,えーと
word#038,お
word#039,おく
word#040,おじさん
word#041,おすすめ
word#042,おばさん
word#043,おる
word#044,お前
word#045,お子様
word#046,お家
word#047,お寺
word#048,お昼
word#049,お茶
word#050,お菓子
word#051,お話
word#052,お話し
word#053,お金
word#054,お願い
word#055,かう
word#056,かかる
word#057,かける
word#058,かっこいい
word#059,かなり
word#060,かね
word#061,かねる
word#062,かも
word#063,が
word#064,くださる
word#065,くらい
word#066,くる
word#067,くれる
word#068,けど
word#069,けれど
word#070,けれども
word#071,こ
word#072,こう
word#073,こういう
word#074,ここ
word#075,こちら
word#076,こっち
word#077,こと
word#078,この
word#079,この間
word#080,これ
word#081,こんな
word#082,ごく
word#083,ごめん
word#084,ごめんなさい
word#085,ご飯
word#086,さっき
word#087,さん
word#088,し
word#089,しまう
word#090,しゃぶしゃぶ
word#091,しれる
word#092,じゃ
word#093,す
word#094,すいません
word#095,すぎる
word#096,すぐ
word#097,すごい
word#098,する
word#099,ずっと
word#100,ぜひ
word#101,そう
word#102,そういう
word#103,そういった
word#104,そうですね
word#105,そこ
word#106,そこで
word#107,そして
word#108,そちら
word#109,その
word#110,その後
word#111,そば
word#112,それ
word#113,それから
word#114,それで
word#115,それでも
word#116,そんな
word#117,そんなに
word#118,たい
word#119,たくさん
word#120,たこ
word#121,ただ
word#122,たち
word#123,たま
word#124,たまに
word#125,ため
word#126,たん
word#127,だいたい
word#128,だいぶ
