name,reaction,lenS,lenU,lendiff,io,na,oa,op,pa,qw,qy,su,label
1902F2001_001,375.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_002,3126.0,60.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_003,330.0,32.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.2
1902F2001_004,199.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2001_005,283.0,50.0,6.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.4
1902F2001_006,376.0,17.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
1902F2001_007,6000.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4
1902F2001_008,866.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8
1902F2001_009,6000.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2001_010,6000.0,22.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2001_011,822.0,23.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1902F2001_012,931.0,44.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6
1902F2001_013,2792.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6
1902F2001_014,1444.0,20.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.4
1902F2001_015,63.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8
1902F2001_016,1746.0,18.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8
1902F2001_017,4166.0,24.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8
1902F2001_018,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_019,1730.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2001_020,2506.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2001_021,98.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1902F2001_022,6000.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
1902F2001_023,40.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2001_024,114.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.4
1902F2001_025,207.0,37.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2001_026,207.0,21.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.4
1902F2001_027,732.0,18.0,24.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.8
1902F2001_028,1424.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_029,211.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2001_030,2922.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6
1902F2001_031,6000.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
1902F2001_032,2806.0,60.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
1902F2001_033,189.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4
1902F2001_034,1007.0,20.0,50.0,-30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4
1902F2001_035,6000.0,16.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_036,229.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2
1902F2001_037,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6
1902F2001_038,65.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8
1902F2001_039,6000.0,12.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2001_040,2579.0,23.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8
1902F2001_041,5717.0,25.0,4.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
1902F2001_042,40.0,33.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8
1902F2001_043,575.0,48.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8
1902F2001_044,6000.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.2
