agent_utterance,agent_utterance_refine,da_simple
 どんなスポーツをされましたか？, どんなスポーツをされましたか？,qs
 なにかおすすめのスポーツ観戦はありますか？, なにかおすすめのスポーツ観戦はありますか？,qs
 スポーツをする目的は何ですか？, スポーツをする目的は何ですか？,qs
 健康のため、とか、リフレッシュするため、とかですか？, 健康のためとかリフレッシュするためとかですか？,qs
 好きなスポーツはなんですか？, 好きなスポーツはなんですか？,qs
 カラオケに行くときはお友達と行きますか？, カラオケに行くときはお友達と行きますか？,qs
 お友達とランチに行ったりしますか？, お友達とランチに行ったりしますか？,qs
 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,qs
 甘いものと、からいものどちらがお好きですか？, 甘いものと辛いもののどちらがお好きですか？,qs
 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,qs
 今までいった「旅行」で特におすすめの場所はありますか？, 今までいった旅行で特におすすめの場所はありますか？,qs
 旅行はどこに行ったことがありますか？, 旅行はどこに行ったことがありますか？,qs
 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？, 2020年にはオリンピックが日本で開催されるようですね。ご存じですか？,qs
 そうですか。テレビでの観戦はなされるんですか？, テレビでの観戦はなされるんですか？,qs
 オリンピックは今までに見たことはありますか？, オリンピックは今までに見たことはありますか？,qs
 スポーツはするほうが好きですか？それとも見るほうが好きですか？, スポーツはするほうが好きですか？それとも見るほうが好きですか？,qs
 スポーツはよくするんですか？, スポーツはよくするんですか？,qs
 日本で開催されるオリンピックを、見にいく予定はありますか？, 日本で開催されるオリンピックを、見にいく予定はありますか？,qs
 最近スポーツはしましたか？, 最近スポーツはしましたか？,qs
 競技はなにをご覧になりますか？, 競技は何をご覧になりますか？,qs
 おすすめの曲はありますか？, おすすめの曲はありますか？,qs
 おすすめの歌手やきょくってありますか？, おすすめの歌手や曲ってありますか？,qs
 そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？, スローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？,qs
 カラオケでよくなにをうたうのですか？, カラオケでよく何を歌うのですか？,qs
 カラオケで歌ったりするのですか？, カラオケで歌ったりするのですか？,qs
 カラオケは好きですか？, カラオケは好きですか？,qs
 コンサートとかには行きますか？, コンサートとかには行きますか？,qs
 最近音楽は聞きましたか？, 最近音楽は聞きましたか？,qs
 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,qs
 ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？,qs
 どんなところに行きますか？和食ですか洋食ですか？, どんなところに行きますか？和食ですか洋食ですか？,qs
 なるほど、普段はどこでスイーツを買いますか？, 普段はどこでスイーツを買いますか？,qs
 「温泉」などリフレッシュするためにいきますか？, 温泉などリフレッシュするためにいきますか？,qs
 さいきん旅行には行きましたか？, 最近、旅行には行きましたか？,qs
 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？, 数年前からスペインのバルセロナは人気の観光スポットですが、ご存知ですか？,qs
 旅行にはよく行かれますか？, 旅行にはよく行かれますか？,qs
 旅行に行くときはなにか目的はありますか？, 旅行に行くときは何か目的はありますか？,qs
 がっきは何を演奏するのですか。, 楽器は何を演奏するのですか？,qs
 そうですか。最近はまっている食べ物はありますか・・, 最近はまっている食べ物はありますか？,qs
 どういったところが好きなんですか？, どういったところが好きなんですか？,qs
 そのほかで、おすすめのものはありますか？あったら教えてください．, そのほかで、おすすめのものはありますか？あったら教えてください？,qs
 そのほかにおすすめのものはありますか？, そのほかにおすすめのものはありますか？,qs
 それのどういったところが好きなんですか？, それのどういったところが好きなんですか？,qs
 ほかには、ありますか？, ほかには、ありますか？,qs
 具体的にはどういったものですか？, 具体的にはどういったものですか？,qs
 具体的には何ですか？, 具体的には何ですか？,qs
 具体的には教えてもらえますか？, 具体的には教えてもらえますか？,qs
 具体的に教えてください？, 具体的に教えてください？,qs
 具体的に教えてもらっていいですか？, 具体的に教えてもらっていいですか？,qs
 そのほか健康のために、気をつけていることはありますか？, そのほか健康のために、気をつけていることはありますか？,qs
 そのきょくのどういうところが好きなんですか？, その曲のどういうところが好きなんですか？,qs
 その作曲者のどういうところが好きなんですか？, その作曲者のどういうところが好きなんですか？,qs
 その歌手のどういうところが好きなんですか？, その歌手のどういうところが好きなんですか？,qs
 それは「最近」食べられたんですか？, それは最近食べられたんですか？,qs
 なるほど、その中でもおすすめのスイーツはありますか？, その中でもおすすめのスイーツはありますか？,qs
 その旅先で何が一番楽しかったですか？, その旅先で何が一番楽しかったですか？,qs
 ほかには何か面白いことはありましたか？, ほかには何か面白いことはありましたか？,qs
 そうですか。そのスポーツはテレビで鑑賞はされますか・・, そのスポーツはテレビで鑑賞はされますか？,qs
 そのスポーツのおすすめポイントを教えてください＾＾, そのスポーツのおすすめポイントを教えてください？,qs
 どこで食べられたんですか・・, どこで食べられたんですか？,qs
 具体的にどういう味か教えてください。, 具体的にどういう味か教えてください？,qs
 その旅先で何かハプニングはありましたか!, その旅先で何かハプニングはありましたか？,qs
 その旅先で美味しい食べ物はたべましたか・・, その旅先で美味しい食べ物はたべましたか？,qs
 もう少し詳しく教えていただいていいですか。, もう少し詳しく教えていただいていいですか？,qs
 そうなんですか．, そうなんですか。,re
 そうなんですか．それでは一度独自で調べてみたいと思います．, そうなんですか。それでは一度独自で調べてみたいと思います。,re
 そうなんですか．私も独自に調べてみますね．, そうなんですか。私も独自に調べてみますね。,re
 そうなんですね。, そうなんですね。,re
 そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！,re
 そうなんですね．新しい知識が増えました！ありがとうございます！, そうなんですね、新しい知識が増えました！ありがとうございます！,re
 なるほど、そうなんですね。, なるほど、そうなんですね。,re
 なるほど、そうなんですね・・, なるほど、そうなんですね。,re
 なるほど。, なるほど。,re
 いいですね，とても興味深いです！, いいですね、とても興味深いです！,re
 それは大変ですよね。, それは大変ですよね。,re
 大変ですよね。, 大変ですよね。,re
 なるほど、勉強になります・・, なるほど、勉強になります。,re
 なるほど、よくご存じですね・・, なるほど、よくご存じですね。,re
 よくご存じですね。, よくご存じですね。,re
 いいですね。テレビ観戦も楽しそうですね！, いいですね。テレビ観戦も楽しそうですね！,re
 なるほど、健康的で、ステキですね・・, なるほど、健康的で素敵ですね。,re
 なるほど、面白そうですね，機会があればわたしも見てみたいです！, なるほど、面白そうですね。機会があれば私も見てみたいです！,re
 それは面白そうですね。, それは面白そうですね。,re
 たのしそうですね。, 楽しそうですね。,re
 なるほど、それは面白そうですね。, なるほど、それは面白そうですね。,re
 なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！,re
 なるほど、面白そうですね！, なるほど、面白そうですね！,re
 楽しそうですね！, 楽しそうですね！,re
 面白いですよね。, 面白いですよね。,re
 本当ですか！, 本当ですか！,re
 すごいですね。, すごいですね。,re
 すごいですね！, すごいですね！,re
 すごい！, すごい！,re
 すごいですね。一度聞かせていただけるとうれしいです。, すごいですね。一度聞かせていただけるとうれしいです。,re
 そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,re
 とても楽しそうですね。, とても楽しそうですね。,re
 なまで演奏をきくと、迫力があって、感動するみたいですね！, なまで演奏をきくと、迫力があって、感動するみたいですね！,re
 わたしも実際に、演奏をきいてみたいものです。, わたしも実際に、演奏をきいてみたいものです。,re
 そうですか、とても美味しそうですね・・, そうですか、とても美味しそうですね。,re
 とても美味しそうですね。今度知りあいにもすすめてみようと思います・・, とても美味しそうですね。今度知りあいにもすすめてみようと思います。,re
 なるほど、それは美味しそうですね・・, なるほど、それは美味しそうですね。,re
 すごい！面白い体験をされましたね!, すごい！面白い体験をされましたね!,re
 なるほど、それはリラックスできますね。, なるほど、それはリラックスできますね。,re
 なるほど、それは素晴らしい経験ですね。, なるほど、それは素晴らしい経験ですね。,re
 貴重な体験談をありがとうございました。, 貴重な体験談をありがとうございました。,re
 それは面白そうですね。, それは面白そうですね。,re
 たのしそうですね。, 楽しそうですね。,re
 なるほど、それは面白そうですね。, なるほど、それは面白そうですね。,re
 なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！,re
 なるほど、面白そうですね！, なるほど、面白そうですね！,re
 楽しそうですね！, 楽しそうですね！,re
 面白いですよね。, 面白いですよね。,re
 本当ですか！, 本当ですか！,re
 すごいですね。, すごいですね。,re
 すごいですね！, すごいですね！,re
 すごい！, すごい！,re
 ありがとうございました・・, ありがとうございました。,re
 ありがとうございます。, ありがとうございます。,re
 ありがとうございます。参考にさせていただきます。, ありがとうございます。参考にさせていただきます。,re
 そうですか、なかなかですね。, そうですか、なかなかですね。,re
 そうですか、残念です・・, そうですか、残念です。,re
 そうですね、わかります。, そうですね、わかります。,re
 そうですね。, そうですね。,re
 そうですね・・ぜひ参考にさせていただきます。, そうですね、ぜひ参考にさせていただきます。,re
 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！, 1964年以来56年ぶりの日本でのオリンピック開催で、たくさんの競技が行われるので行ってみたいものですね！,io
 これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,io
 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・, 私の友人はあんこ系が好きだそうです。あずきときなこは体や肌にいいそうで、よく食べてるそうです。,io
 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・, 先日旅行にいった知り合いが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです。,io
